ts,open,high,low,close,volume
2025-06-15 22:36:00,105217.77,105238.57,105206.85,105238.56,1.06099
2025-06-15 22:37:00,105238.57,105246.94,105219.62,105219.62,5.91945
2025-06-15 22:38:00,105219.62,105219.62,105143.56,105163.99,8.19291
2025-06-15 22:39:00,105164.0,105167.86,105143.98,105161.86,5.36965
2025-06-15 22:40:00,105161.86,105163.99,105149.99,105163.98,3.73765
2025-06-15 22:41:00,105163.97,105180.0,105163.97,105166.53,3.54585
2025-06-15 22:42:00,105166.53,105166.53,105039.82,105055.71,12.45387
2025-06-15 22:43:00,105055.71,105083.82,105055.71,105077.46,4.01558
2025-06-15 22:44:00,105077.46,105232.0,105077.46,105214.0,10.5216
2025-06-15 22:45:00,105214.0,105305.5,105214.0,105304.0,4.66754
2025-06-15 22:46:00,105304.0,105304.01,105285.67,105301.99,1.69048
2025-06-15 22:47:00,105301.99,105346.73,105301.99,105334.0,6.29008
2025-06-15 22:48:00,105334.0,105359.96,105334.0,105334.01,5.49367
2025-06-15 22:49:00,105334.01,105334.01,105281.06,105281.06,4.27027
2025-06-15 22:50:00,105281.06,105329.17,105271.98,105329.17,2.52562
2025-06-15 22:51:00,105329.16,105338.82,105329.16,105338.81,1.3361
2025-06-15 22:52:00,105338.82,105343.35,105311.77,105313.81,6.37517
2025-06-15 22:53:00,105313.81,105313.81,105225.32,105225.32,4.35803
2025-06-15 22:54:00,105225.32,105284.38,105214.26,105284.37,3.36665
2025-06-15 22:55:00,105284.38,105341.55,105284.38,105341.55,2.52563
2025-06-15 22:56:00,105341.55,105343.34,105324.67,105324.68,5.16811
2025-06-15 22:57:00,105324.68,105324.68,105308.82,105308.82,0.44843
2025-06-15 22:58:00,105308.82,105322.52,105251.09,105271.57,12.71283
2025-06-15 22:59:00,105271.56,105271.57,105255.04,105263.51,1.6639
2025-06-15 23:00:00,105263.52,105297.2,105263.52,105266.89,6.19387
2025-06-15 23:01:00,105266.9,105269.7,105243.38,105269.7,7.69572
2025-06-15 23:02:00,105269.69,105307.15,105263.7,105307.14,2.08852
2025-06-15 23:03:00,105307.15,105317.42,105302.0,105308.81,0.99954
2025-06-15 23:04:00,105308.82,105308.82,105287.96,105296.88,7.87471
2025-06-15 23:05:00,105296.89,105367.61,105296.88,105367.61,3.81573
2025-06-15 23:06:00,105367.61,105396.14,105367.61,105396.13,7.15201
2025-06-15 23:07:00,105396.14,105396.14,105339.99,105372.47,9.80916
2025-06-15 23:08:00,105372.46,105397.41,105352.94,105352.94,5.90412
