ts,open,high,low,close,volume
2025-06-13 06:30:00,103848.63,103884.5,103848.63,103884.5,8.38445
2025-06-13 06:31:00,103884.5,103928.0,103884.49,103910.53,4.758
2025-06-13 06:32:00,103910.52,103938.89,103896.66,103915.24,6.80934
2025-06-13 06:33:00,103915.24,103928.39,103907.03,103907.03,4.26882
2025-06-13 06:34:00,103907.03,103919.27,103892.55,103919.27,4.6203
2025-06-13 06:35:00,103919.27,103923.7,103890.01,103910.52,15.3176
2025-06-13 06:36:00,103910.53,103944.59,103910.0,103938.2,3.35861
2025-06-13 06:37:00,103938.2,103938.2,103886.19,103886.19,10.83005
2025-06-13 06:38:00,103886.19,103886.2,103825.11,103841.52,10.8224
2025-06-13 06:39:00,103841.53,103902.0,103841.52,103901.99,3.91479
2025-06-13 06:40:00,103902.0,103931.49,103894.66,103908.49,4.56811
2025-06-13 06:41:00,103908.5,103965.48,103908.49,103965.48,6.8188
2025-06-13 06:42:00,103965.48,104013.19,103965.47,104008.49,5.81515
2025-06-13 06:43:00,104008.5,104008.5,103983.75,103985.38,3.02789
2025-06-13 06:44:00,103985.37,104003.45,103985.37,103987.43,16.35837
2025-06-13 06:45:00,103987.44,103987.44,103855.6,103933.38,22.77046
2025-06-13 06:46:00,103933.38,103933.38,103915.67,103919.56,3.70966
2025-06-13 06:47:00,103919.56,103953.95,103880.0,103953.94,7.96763
2025-06-13 06:48:00,103953.94,103953.95,103900.07,103900.07,6.87241
2025-06-13 06:49:00,103900.08,104235.29,103900.07,104230.22,54.73454
2025-06-13 06:50:00,104230.23,104257.9,104209.72,104238.29,18.27526
2025-06-13 06:51:00,104238.28,104350.12,104229.0,104327.01,26.08371
2025-06-13 06:52:00,104327.01,104368.58,104308.44,104308.45,14.73897
2025-06-13 06:53:00,104308.44,104529.28,104301.31,104464.87,67.37581
2025-06-13 06:54:00,104464.87,104500.0,104447.08,104447.08,34.42923
2025-06-13 06:55:00,104447.07,104512.78,104437.31,104491.44,16.84638
2025-06-13 06:56:00,104491.45,104497.5,104451.75,104451.75,4.20834
2025-06-13 06:57:00,104451.75,104451.76,104377.09,104408.8,20.54653
2025-06-13 06:58:00,104408.8,104657.34,104396.83,104639.99,134.024
2025-06-13 06:59:00,104639.99,104722.5,104639.99,104704.26,32.51218
2025-06-13 07:00:00,104704.27,104712.58,104604.82,104605.27,17.86304
2025-06-13 07:01:00,104605.28,104636.0,104591.74,104597.26,16.37212
2025-06-13 07:02:00,104597.26,104600.05,104507.68,104540.49,25.76376
2025-06-13 07:03:00,104540.5,104540.5,104477.16,104496.01,13.34444
2025-06-13 07:04:00,104496.0,104518.98,104437.68,104437.69,17.90707
2025-06-13 07:05:00,104437.69,104437.69,104376.43,104376.43,9.49188
2025-06-13 07:06:00,104376.44,104431.57,104376.44,104392.5,11.23368
2025-06-13 07:07:00,104392.5,104490.83,104392.49,104490.83,3.48749
2025-06-13 07:08:00,104490.83,104594.02,104490.82,104556.36,6.67174
2025-06-13 07:09:00,104556.37,104556.37,104447.55,104478.86,20.32137
2025-06-13 07:10:00,104478.86,104526.29,104474.99,104489.98,20.61252
2025-06-13 07:11:00,104489.97,104489.98,104470.22,104474.99,3.28757
2025-06-13 07:12:00,104475.0,104518.43,104469.32,104498.28,23.61795
2025-06-13 07:13:00,104498.28,104498.29,104416.03,104416.04,4.91464
2025-06-13 07:14:00,104416.03,104522.83,104376.43,104475.0,12.66538
2025-06-13 07:15:00,104475.0,104521.58,104445.09,104521.58,9.43356
2025-06-13 07:16:00,104521.57,104525.44,104480.0,104489.48,3.77279
2025-06-13 07:17:00,104489.48,104500.0,104441.85,104441.85,5.49381
2025-06-13 07:18:00,104441.85,104457.13,104424.0,104424.0,4.29182
2025-06-13 07:19:00,104424.0,104459.0,104400.5,104446.01,7.11604
2025-06-13 07:20:00,104446.0,104495.01,104446.0,104488.0,3.47352
