ts,open,high,low,close,volume,signal
2025-06-19 07:54:00,104706.06,104706.07,104706.06,104706.07,0.59405,
2025-06-19 07:55:00,104706.06,104706.07,104658.0,104658.0,6.59812,HOLD
2025-06-19 07:56:00,104658.0,104658.01,104625.87,104625.87,3.79244,HOLD
2025-06-19 07:57:00,104625.87,104625.88,104617.69,104623.08,10.5004,HOLD
2025-06-19 07:58:00,104623.78,104635.99,104623.78,104635.99,12.05153,HOLD
2025-06-19 07:59:00,104635.98,104642.85,104635.98,104642.85,3.09429,HOLD
2025-06-19 08:00:00,104642.85,104653.34,104631.26,104653.34,4.21705,HOLD
2025-06-19 08:01:00,104653.34,104708.08,104653.33,104708.08,6.53013,HOLD
2025-06-19 08:02:00,104708.08,104708.08,104700.46,104707.73,4.4684,HOLD
2025-06-19 08:03:00,104707.72,104724.07,104707.72,104724.07,8.44184,HOLD
2025-06-19 08:04:00,104724.07,104743.44,104713.8,104743.44,7.57213,HOLD
2025-06-19 08:05:00,104743.44,104748.52,104743.43,104748.51,3.42592,HOLD
2025-06-19 08:06:00,104748.51,104750.99,104748.51,104750.99,2.72694,HOLD
2025-06-19 08:07:00,104750.99,104750.99,104750.98,104750.99,2.92225,HOLD
2025-06-19 08:08:00,104750.99,104806.06,104750.98,104806.06,5.92244,HOLD
2025-06-19 08:09:00,104806.05,104835.7,104806.05,104835.7,5.27317,HOLD
2025-06-19 08:10:00,104835.7,104919.38,104835.7,104919.37,6.40061,HOLD
2025-06-19 08:11:00,104919.38,104925.26,104912.14,104919.67,11.56461,HOLD
2025-06-19 08:12:00,104919.67,104919.67,104895.85,104895.85,7.39728,HOLD
2025-06-19 08:13:00,104895.85,104902.35,104895.85,104902.34,2.60919,HOLD
2025-06-19 08:14:00,104902.34,104902.35,104888.19,104888.19,4.78032,HOLD
2025-06-19 08:15:00,104888.19,104901.0,104875.2,104900.99,10.0176,HOLD
2025-06-19 08:16:00,104901.0,104916.3,104900.99,104916.3,4.8526,HOLD
2025-06-19 08:17:00,104916.3,104922.08,104916.29,104922.07,0.92347,HOLD
2025-06-19 08:18:00,104922.07,104922.08,104905.81,104905.82,3.11903,HOLD
2025-06-19 08:19:00,104905.82,104905.82,104905.81,104905.82,0.71447,HOLD
2025-06-19 08:20:00,104905.81,104905.81,104882.97,104892.85,3.91102,HOLD
2025-06-19 08:21:00,104892.86,104906.38,104892.85,104906.37,5.8577,HOLD
2025-06-19 08:22:00,104906.37,104906.38,104906.37,104906.37,0.98192,HOLD
2025-06-19 08:23:00,104906.38,104906.38,104906.36,104906.37,2.17093,HOLD
2025-06-19 08:24:00,104906.37,104906.37,104906.36,104906.36,4.00687,HOLD
2025-06-19 08:25:00,104906.37,104906.37,104895.95,104895.96,2.61413,HOLD
2025-06-19 08:26:00,104895.96,104916.27,104895.95,104916.27,2.60037,HOLD
2025-06-19 08:27:00,104916.27,104916.27,104876.09,104876.52,8.37443,HOLD
2025-06-19 08:28:00,104876.52,104876.52,104876.51,104876.51,0.57849,HOLD
2025-06-19 08:29:00,104876.52,104876.52,104876.51,104876.52,5.29901,HOLD
2025-06-19 08:30:00,104876.51,104884.93,104851.76,104851.77,4.52511,HOLD
2025-06-19 08:31:00,104851.77,104851.77,104840.0,104840.01,1.33854,HOLD
2025-06-19 08:32:00,104840.0,104840.01,104802.35,104802.36,2.16315,HOLD
2025-06-19 08:33:00,104802.35,104802.36,104802.35,104802.36,4.162,HOLD
2025-06-19 08:34:00,104802.36,104868.1,104802.35,104860.0,7.53124,HOLD
2025-06-19 08:35:00,104860.0,104860.01,104761.35,104828.15,36.18111,HOLD
2025-06-19 08:36:00,104828.16,104849.1,104828.15,104840.0,3.01961,HOLD
2025-06-19 08:37:00,104840.01,104845.52,104840.0,104845.52,2.93639,HOLD
2025-06-19 08:38:00,104845.52,104865.78,104845.51,104865.78,1.32172,HOLD
2025-06-19 08:39:00,104865.78,104865.78,104865.77,104865.78,1.45928,HOLD
2025-06-19 08:40:00,104865.78,104865.78,104865.77,104865.77,3.62415,HOLD
2025-06-19 08:41:00,104865.77,104865.78,104848.48,104848.49,1.47391,HOLD
2025-06-19 08:42:00,104848.48,104869.98,104848.48,104869.98,1.77341,HOLD
2025-06-19 08:43:00,104869.97,104924.0,104869.97,104923.99,6.23852,HOLD
2025-06-19 08:44:00,104924.0,104924.0,104922.21,104922.21,1.82908,HOLD
2025-06-19 08:45:00,104922.22,104975.94,104922.21,104975.94,3.30958,HOLD
2025-06-19 08:46:00,104975.94,104986.13,104970.66,104970.67,4.52294,HOLD
2025-06-19 08:47:00,104970.66,104970.68,104970.66,104970.67,10.19131,HOLD
2025-06-19 08:48:00,104970.68,104982.33,104946.4,104947.68,15.84883,HOLD
2025-06-19 08:49:00,104947.68,104953.01,104947.68,104952.01,3.35892,HOLD
2025-06-19 08:50:00,104952.01,104952.01,104871.25,104888.92,14.37025,HOLD
2025-06-19 08:51:00,104888.92,104888.93,104883.67,104883.68,1.35992,HOLD
2025-06-19 08:52:00,104883.68,104883.68,104854.58,104854.59,2.70621,HOLD
2025-06-19 08:53:00,104854.59,104854.59,104845.03,104845.04,1.73061,HOLD
2025-06-19 08:54:00,104845.03,104845.04,104823.78,104823.79,2.0857,HOLD
2025-06-19 08:55:00,104823.79,104823.79,104816.03,104816.04,0.95254,HOLD
2025-06-19 08:56:00,104816.04,104816.04,104816.03,104816.04,0.80228,SELL
2025-06-19 08:57:00,104816.04,104816.04,104770.93,104770.94,2.99265,HOLD
2025-06-19 08:58:00,104770.94,104770.94,104739.44,104746.12,5.45883,HOLD
2025-06-19 08:59:00,104746.13,104746.13,104746.11,104746.12,1.84935,HOLD
2025-06-19 09:00:00,104746.11,104746.12,104740.4,104740.4,1.81402,HOLD
2025-06-19 09:01:00,104740.41,104764.76,104740.39,104764.76,4.57889,HOLD
2025-06-19 09:02:00,104764.75,104779.8,104764.75,104779.8,1.60989,HOLD
2025-06-19 09:03:00,104779.8,104779.8,104779.79,104779.8,0.42196,HOLD
2025-06-19 09:04:00,104779.79,104797.06,104779.79,104797.06,1.1178,HOLD
2025-06-19 09:05:00,104797.06,104818.81,104797.06,104807.95,1.02919,HOLD
2025-06-19 09:06:00,104807.95,104807.96,104807.95,104807.95,0.54704,HOLD
2025-06-19 09:07:00,104807.95,104807.96,104807.95,104807.95,2.1601,HOLD
2025-06-19 09:08:00,104807.96,104807.96,104774.02,104779.99,7.0467,HOLD
2025-06-19 09:09:00,104779.99,104780.0,104779.99,104780.0,2.34768,HOLD
2025-06-19 09:10:00,104780.0,104780.0,104779.99,104779.99,2.69429,HOLD
2025-06-19 09:11:00,104779.99,104779.99,104729.83,104744.92,2.93647,HOLD
2025-06-19 09:12:00,104744.92,104775.73,104744.91,104775.73,0.90976,HOLD
2025-06-19 09:13:00,104775.73,104794.43,104775.72,104794.42,1.46127,HOLD
2025-06-19 09:14:00,104794.43,104794.43,104794.42,104794.42,1.14642,HOLD
2025-06-19 09:15:00,104794.42,104794.43,104794.42,104794.43,0.96603,HOLD
2025-06-19 09:16:00,104794.42,104807.96,104794.42,104807.96,5.84426,HOLD
2025-06-19 09:17:00,104807.95,104848.31,104807.95,104848.31,5.53337,HOLD
2025-06-19 09:18:00,104848.31,104892.7,104848.3,104876.0,4.75132,HOLD
2025-06-19 09:19:00,104876.0,105000.0,104862.0,104999.99,20.47789,HOLD
2025-06-19 09:20:00,105000.0,105000.0,104957.14,104986.07,19.14527,BUY
2025-06-19 09:21:00,104986.07,104991.14,104947.79,104947.8,5.99592,HOLD
2025-06-19 09:22:00,104947.8,104947.8,104947.79,104947.8,2.55226,HOLD
2025-06-19 09:23:00,104947.79,104959.33,104947.78,104959.32,3.32747,HOLD
2025-06-19 09:24:00,104959.33,104959.33,104947.69,104947.69,5.93323,HOLD
2025-06-19 09:25:00,104947.69,104958.0,104947.69,104958.0,2.1016,HOLD
2025-06-19 09:26:00,104957.99,104958.0,104947.68,104947.68,2.99838,HOLD
2025-06-19 09:27:00,104947.68,104947.69,104947.62,104947.62,2.06881,HOLD
2025-06-19 09:28:00,104947.62,104976.03,104947.62,104976.03,2.58884,HOLD
2025-06-19 09:29:00,104976.02,104976.03,104976.02,104976.03,1.38345,HOLD
2025-06-19 09:30:00,104976.03,104976.03,104976.02,104976.03,1.11409,HOLD
2025-06-19 09:31:00,104976.02,104976.03,104938.5,104938.51,4.11952,HOLD
2025-06-19 09:32:00,104938.5,104960.0,104938.5,104960.0,2.59917,HOLD
2025-06-19 09:33:00,104959.99,104960.0,104928.17,104928.17,3.61219,HOLD
2025-06-19 09:34:00,104928.17,104934.19,104928.17,104934.18,5.93344,HOLD
2025-06-19 09:35:00,104934.18,104934.19,104934.18,104934.19,1.52989,HOLD
2025-06-19 09:36:00,104934.18,104971.0,104934.18,104955.24,5.88638,HOLD
2025-06-19 09:37:00,104955.25,104955.25,104955.24,104955.24,3.6819,HOLD
2025-06-19 09:38:00,104955.24,104955.25,104912.63,104928.57,5.58864,HOLD
2025-06-19 09:39:00,104928.58,104939.98,104928.57,104939.97,2.1928,HOLD
2025-06-19 09:40:00,104939.97,104963.26,104935.28,104963.25,6.65022,HOLD
2025-06-19 09:41:00,104963.26,104963.26,104963.25,104963.26,1.3765,HOLD
2025-06-19 09:42:00,104963.26,104963.26,104952.0,104952.01,5.1002,HOLD
2025-06-19 09:43:00,104952.0,104952.01,104928.57,104928.58,3.37259,HOLD
2025-06-19 09:44:00,104928.58,104928.58,104926.91,104926.92,4.58331,HOLD
2025-06-19 09:45:00,104926.92,104988.0,104926.91,104988.0,18.76982,HOLD
2025-06-19 09:46:00,104987.99,104988.0,104970.0,104970.01,3.49141,HOLD
2025-06-19 09:47:00,104970.01,104970.01,104960.01,104964.28,4.57541,HOLD
2025-06-19 09:48:00,104964.29,105030.0,104964.28,105030.0,8.42332,HOLD
2025-06-19 09:49:00,105029.99,105030.0,105005.49,105005.49,9.89745,HOLD
2025-06-19 09:50:00,105005.5,105005.5,104992.56,104992.56,5.09125,HOLD
2025-06-19 09:51:00,104992.57,104992.57,104936.42,104959.99,3.16414,HOLD
2025-06-19 09:52:00,104959.99,104996.87,104959.99,104996.74,11.63382,HOLD
2025-06-19 09:53:00,104996.75,104996.75,104984.0,104984.01,18.13725,HOLD
2025-06-19 09:54:00,104984.0,104984.01,104950.03,104964.28,9.51364,HOLD
2025-06-19 09:55:00,104964.28,104978.04,104964.27,104978.03,1.09881,HOLD
2025-06-19 09:56:00,104978.04,104978.04,104963.83,104963.83,3.03277,HOLD
2025-06-19 09:57:00,104963.84,104987.9,104963.84,104973.99,3.99048,HOLD
2025-06-19 09:58:00,104973.99,104995.99,104973.98,104995.99,1.05571,HOLD
2025-06-19 09:59:00,104995.99,104995.99,104987.95,104994.0,7.95696,HOLD
2025-06-19 10:00:00,104994.0,104994.0,104993.99,104994.0,1.02672,HOLD
2025-06-19 10:01:00,104993.99,105000.01,104993.99,105000.01,3.73341,HOLD
2025-06-19 10:02:00,105000.01,105021.21,105000.0,105021.21,1.81019,HOLD
2025-06-19 10:03:00,105021.21,105038.39,105021.2,105038.39,4.53743,HOLD
2025-06-19 10:04:00,105038.39,105038.39,105018.75,105018.76,4.21664,HOLD
2025-06-19 10:05:00,105018.76,105018.76,104960.13,104967.19,2.24235,HOLD
2025-06-19 10:06:00,104967.2,104970.0,104967.19,104969.99,1.08064,HOLD
2025-06-19 10:07:00,104969.99,104970.0,104969.99,104970.0,1.28256,HOLD
2025-06-19 10:08:00,104970.0,104970.0,104930.65,104953.5,3.76865,HOLD
2025-06-19 10:09:00,104953.71,104959.97,104943.43,104943.43,9.42268,HOLD
2025-06-19 10:10:00,104943.43,104954.0,104943.43,104954.0,2.25252,HOLD
2025-06-19 10:11:00,104954.0,104973.92,104953.99,104973.92,1.62593,HOLD
2025-06-19 10:12:00,104973.91,105018.75,104973.91,105005.33,4.05677,HOLD
2025-06-19 10:13:00,105005.34,105005.34,104993.39,104993.4,1.04086,HOLD
2025-06-19 10:14:00,104993.39,105000.01,104993.39,105000.01,1.10085,HOLD
2025-06-19 10:15:00,105000.0,105000.01,105000.0,105000.01,1.40291,HOLD
2025-06-19 10:16:00,105000.01,105019.99,105000.0,105007.96,4.38485,HOLD
2025-06-19 10:17:00,105007.96,105012.0,105007.95,105011.99,0.99186,HOLD
2025-06-19 10:18:00,105012.0,105022.64,104981.37,104981.38,3.8143,HOLD
2025-06-19 10:19:00,104981.38,105000.01,104958.09,104958.1,5.52203,HOLD
2025-06-19 10:20:00,104958.1,104976.91,104958.09,104971.69,3.99217,HOLD
2025-06-19 10:21:00,104971.69,104998.19,104937.08,104998.19,4.52682,HOLD
2025-06-19 10:22:00,104998.2,105034.83,104988.24,105034.83,7.1203,HOLD
2025-06-19 10:23:00,105034.83,105034.83,104988.24,105034.8,7.93183,HOLD
2025-06-19 10:24:00,105034.8,105034.8,105001.02,105020.0,3.7637,HOLD
2025-06-19 10:25:00,105020.0,105023.08,105000.01,105023.08,2.34996,HOLD
2025-06-19 10:26:00,105023.08,105035.72,105023.07,105024.76,2.47027,HOLD
2025-06-19 10:27:00,105024.75,105038.39,105016.01,105038.39,2.90333,HOLD
2025-06-19 10:28:00,105038.39,105038.39,105038.38,105038.38,0.80681,HOLD
2025-06-19 10:29:00,105038.39,105045.0,105038.38,105044.99,2.50999,HOLD
2025-06-19 10:30:00,105045.0,105073.53,105044.99,105067.07,5.45193,HOLD
2025-06-19 10:31:00,105067.08,105067.08,105067.07,105067.08,1.32235,HOLD
2025-06-19 10:32:00,105067.07,105067.08,105012.72,105012.72,3.62627,HOLD
2025-06-19 10:33:00,105012.72,105018.24,104984.92,104984.92,4.90051,HOLD
2025-06-19 10:34:00,104984.92,104984.93,104954.39,104961.97,2.09517,HOLD
2025-06-19 10:35:00,104961.97,104984.91,104961.97,104984.91,3.14555,HOLD
2025-06-19 10:36:00,104984.91,104984.91,104960.01,104960.02,2.09503,HOLD
2025-06-19 10:37:00,104960.01,105029.99,104960.01,105029.99,9.16534,HOLD
2025-06-19 10:38:00,105030.0,105030.0,104995.34,104995.35,3.29269,HOLD
2025-06-19 10:39:00,104995.35,105008.29,104995.34,105001.9,2.27467,HOLD
2025-06-19 10:40:00,105001.91,105001.91,104987.73,104987.74,1.24254,HOLD
2025-06-19 10:41:00,104987.74,105016.51,104987.73,105016.5,3.41329,SELL
2025-06-19 10:42:00,105016.51,105045.0,105016.51,105044.99,4.45084,HOLD
2025-06-19 10:43:00,105045.0,105045.0,104963.26,104963.26,9.23587,HOLD
2025-06-19 10:44:00,104963.26,104963.27,104953.08,104959.99,1.89548,HOLD
2025-06-19 10:45:00,104960.0,104960.0,104903.26,104903.26,3.51831,HOLD
2025-06-19 10:46:00,104903.27,104903.27,104854.57,104854.57,1.79634,HOLD
2025-06-19 10:47:00,104854.57,104865.92,104854.57,104865.56,3.89782,HOLD
2025-06-19 10:48:00,104865.55,104865.56,104853.2,104853.2,2.89304,HOLD
2025-06-19 10:49:00,104853.21,104853.21,104843.7,104843.71,2.32311,HOLD
2025-06-19 10:50:00,104843.71,104888.4,104843.7,104888.4,2.41878,HOLD
2025-06-19 10:51:00,104888.4,104904.0,104888.39,104904.0,3.37922,HOLD
2025-06-19 10:52:00,104904.0,104934.38,104904.0,104934.37,6.51639,HOLD
2025-06-19 10:53:00,104934.37,104946.75,104934.37,104946.74,1.57042,HOLD
2025-06-19 10:54:00,104946.75,104946.75,104939.0,104939.01,3.51243,HOLD
2025-06-19 10:55:00,104939.0,104939.01,104939.0,104939.01,1.04196,HOLD
